# play_065 vs NGS (TSV: 2019_KC_2019092204_1643.tsv)

Our cutoff frames: 377 @ 30 fps
NGS players: 22, snap_frame_ngs: 148
Best our-snap-frame: 114 (= 3.80s into clip)
Matched pairs: 22

## Aggregate (median across matched players)
  pos_rmse_yd             median=0.437  mean=0.884
  pos_p50_yd              median=0.284  mean=0.305
  pos_p90_yd              median=0.631  mean=1.608
  speed_rmse_yds          median=0.890  mean=0.971
  speed_corr              median=0.907  mean=0.873
  accel_rmse_yds2         median=5.847  mean=6.286
  accel_corr              median=0.256  mean=0.268

## Per-player
 track_id  nfl_id                  player  jersey pos team  n_obs  n_overlap_frames  match_cost_yd  pos_rmse_yd  pos_mean_yd  pos_p50_yd  pos_p90_yd  speed_rmse_yds  speed_corr  speed_mean_us_yds  speed_mean_ngs_yds  accel_rmse_yds2  accel_corr
        1 2562580          Mecole Hardman      17  WR   KC    126               126       0.293702     0.328562     0.293702    0.247464    0.464939        0.455890    0.994623           5.909209            5.829841         3.654683    0.492148
        2 2543457           Sammy Watkins      14  WR   KC     87                87       0.355374     0.414833     0.355374    0.310253    0.591177        1.166237    0.902398           3.190606            2.698391         8.344269    0.386198
        3 2555478       Demarcus Robinson      11  WR   KC    126               126       0.285735     0.319726     0.285735    0.265840    0.439280        0.445207    0.994491           5.642280            5.577381         3.695014    0.416402
        4 2555178          Maurice Canady      26  CB  BAL     76                76       0.338138     0.369876     0.338138    0.311891    0.524779        0.873794    0.941131           2.733012            2.618816         7.010238    0.223626
        5 2560963         Anthony Averett      34  CB  BAL    124               124       0.391608     0.443488     0.391608    0.353640    0.653926        0.719871    0.984981           5.469294            5.258710         4.494803    0.095192
        6 2557841            Tim Williams      56 OLB  BAL     68                68       0.465618     0.487939     0.465618    0.463025    0.668187        0.537340    0.974052           1.764807            1.541912         3.739833    0.535684
        7 2562650         Jaylon Ferguson      45  LB  BAL     77                77       0.504337     0.537866     0.504337    0.527676    0.719914        0.905591    0.926892           1.539082            1.189870         5.013509    0.385868
        8 2540258            Travis Kelce      87  TE   KC    108               108       0.241547     0.305999     0.241547    0.171408    0.458754        0.746296    0.979736           4.291777            4.055093         5.740625    0.265927
        9   79607            LeSean McCoy      25  RB   KC     78                78       2.242834     4.233746     2.242834    0.227446    9.501238        1.816924    0.623614           1.468918            1.663846         9.132948    0.245835
       10 2508080             Earl Thomas      29  FS  BAL     86                86       0.374299     0.488011     0.374299    0.280071    0.767205        0.914341    0.910767           2.176707            1.781628         5.656764    0.199436
       11 2558125         Patrick Mahomes      15  QB   KC     79                79       0.345973     0.430744     0.345973    0.232968    0.652932        0.958083    0.797726           1.132877            0.719494         5.282548    0.306900
       12 2540164          Tony Jefferson      23  SS  BAL    126               126       0.330289     0.398118     0.330289    0.257631    0.729633        0.747792    0.979864           5.358559            5.204683         5.979059    0.209321
       13 2560947             Kenny Young      40  LB  BAL     92                92       0.264884     0.309980     0.264884    0.224064    0.513781        1.017052    0.896979           2.612895            2.345543         7.869360    0.194716
       14 2556650          Michael Pierce      97  DT  BAL     82                82       0.452334     0.470947     0.452334    0.460408    0.584665        0.765031    0.831562           1.108755            0.896585         5.882271    0.229602
       15 2541302        Brandon Williams      98  DT  BAL     70                70       0.606629     0.781246     0.606629    0.511715    0.648756        0.849170    0.890977           1.289807            0.921143         5.811176    0.346761
       16 2556642        Patrick Onwuasor      48 ILB  BAL     93                93       0.382326     0.459696     0.382326    0.288765    0.797296        1.025672    0.913358           2.750599            2.484946         7.176862    0.308851
       17 2552240          Cameron Erving      75   G   KC     79                79       0.343774     0.465741     0.343774    0.148824    0.836626        0.866185    0.815432           1.215299            0.846709         5.585476    0.318257
       18    4365            Brandon Carr      24  CB  BAL    103               103       0.312807     0.348996     0.312807    0.293840    0.550668        0.956677    0.939037           3.226527            2.916893         7.328928    0.122700
       19 2559354            Andrew Wylie      77  OT   KC     80                80       0.271442     0.320728     0.271442    0.193211    0.570494        0.838299    0.791873           1.178722            0.809500         4.813082    0.406316
       20 2532945       Mitchell Schwartz      71   T   KC     79                79       0.293156     0.340791     0.293156    0.221816    0.513054        1.220557    0.827275           1.923993            1.355316         8.720279   -0.036579
       21 2553452           Austin Reiter      62   C   KC     79                79       4.070220     6.674962     4.070220    0.325323   13.573527        2.062180    0.609475           2.004944            0.861392         7.811848    0.122939
       22 2543816 Laurent Duvernay-Tardif      76   G   KC     81                81       0.440127     0.513736     0.440127    0.388758    0.612419        1.464357    0.676493           1.581834            0.931852         9.543856    0.123521
