# 2019102712_play_011 vs NGS (TSV: 2019_GB_2019102712_282.tsv)

Our cutoff frames: 509 @ 30 fps
NGS players: 22, snap_frame_ngs: 154
Best our-snap-frame: 303 (= 10.10s into clip)
Matched pairs: 22

## Aggregate (median across matched players)
  pos_rmse_yd             median=0.422  mean=0.713
  pos_p50_yd              median=0.295  mean=0.358
  pos_p90_yd              median=0.601  mean=1.029
  speed_rmse_yds          median=1.041  mean=1.122
  speed_corr              median=0.914  mean=0.859
  accel_rmse_yds2         median=6.798  mean=6.998
  accel_corr              median=0.183  mean=0.165

## Per-player
 track_id  nfl_id           player  jersey pos team  n_obs  n_overlap_frames  match_cost_yd  pos_rmse_yd  pos_mean_yd  pos_p50_yd  pos_p90_yd  speed_rmse_yds  speed_corr  speed_mean_us_yds  speed_mean_ngs_yds  accel_rmse_yds2  accel_corr
        1 2553548     Jake Kumerow      16  WR   GB    165               165       0.308369     0.393018     0.308369    0.172177    0.695858        1.156365    0.959103           3.572427            3.302061         8.884433    0.255192
        2 2561417  Charvarius Ward      35  DB   KC    158               158       0.314047     0.367056     0.314047    0.243242    0.526593        0.904450    0.925924           1.778761            1.573418         7.277811    0.271480
        3 2560787     Allen Lazard      13  WR   GB    158               158       0.319572     0.360513     0.319572    0.258203    0.532895        0.892327    0.932185           1.441167            1.195570         6.545699    0.258516
        4 2562761   Juan Thornhill      22  DB   KC    165               165       0.293746     0.345349     0.293746    0.262189    0.464471        1.565604    0.743798           2.389955            2.061576        10.112215    0.087763
        5 2555278   Emmanuel Ogbah      90  DE   KC    156               156       2.118303     4.079947     2.118303    0.709352    8.204190        1.479300    0.660679           1.186158            1.330769         5.955227   -0.026234
        6 2556460 Geronimo Allison      81  WR   GB    165               165       0.276426     0.335269     0.276426    0.225313    0.568498        1.013313    0.950022           2.061783            1.750606         6.214962    0.274272
        7 2550257  Daniel Sorensen      49  SS   KC    170               170       0.336934     0.420611     0.336934    0.318612    0.633663        1.050792    0.958612           2.901966            2.654882         7.402956    0.193381
        8 2540180   Tyrann Mathieu      32  FS   KC    170               170       0.435317     0.472438     0.435317    0.406372    0.643315        1.034097    0.950964           2.865898            2.653353         7.781771    0.172740
        9 2561383      Ben Niemann      56  LB   KC    159               159       0.460031     0.484821     0.460031    0.465675    0.602212        0.875704    0.938480           1.713132            1.516226         6.999845    0.247861
       10 2562649    Rashad Fenton      27  DB   KC    160               160       0.337418     0.401404     0.337418    0.278127    0.636964        0.775230    0.956075           1.899559            1.627062         4.654928    0.467408
       11 2495888   Marcedes Lewis      89  TE   GB    161               161       0.319224     0.423859     0.319224    0.211134    0.699933        1.047626    0.938000           1.946973            1.570497         6.501861    0.246590
       12  496988     Bryan Bulaga      75  OT   GB    156               156       0.318757     0.344644     0.318757    0.309464    0.402094        1.259561    0.801550           1.448353            1.042692         6.596110    0.055675
       13 2558116      Aaron Jones      33  RB   GB    154               154       0.323953     0.383017     0.323953    0.321585    0.508632        1.622190    0.737226           1.365664            0.921948        10.444145    0.058884
       14 2558185 Tanoh Kpassagnon      92  DE   KC    158               158       0.623129     0.657891     0.623129    0.712716    0.778323        1.345575    0.730266           1.178106            0.723734         9.859806    0.077540
       15 2506363    Aaron Rodgers      12  QB   GB    155               155       0.283528     0.496236     0.283528    0.136176    0.507040        1.225449    0.766142           1.384496            1.114710         7.051935   -0.049892
       16 2555169   Reggie Ragland      59 ILB   KC    159               159       0.318367     0.432368     0.318367    0.225007    0.588344        1.261263    0.836249           1.601895            1.277799         7.188320    0.149662
       17 2539319      Alex Okafor      97  DE   KC    153               153       0.591795     0.623696     0.591795    0.664269    0.772612        0.913217    0.938755           1.903567            1.517516         5.235137    0.247880
       18 2543571 Bashaud Breeland      21  CB   KC    168               168       0.447939     0.481324     0.447939    0.437625    0.599894        0.803687    0.953475           2.172546            1.900417         5.434935    0.275799
       19 2543740     Billy Turner      77  OG   GB    157               157       0.231798     0.308120     0.231798    0.146133    0.532930        0.875378    0.862971           1.136898            0.789554         6.546491    0.130319
       20 2540183  David Bakhtiari      69   T   GB    158               158       0.527842     0.560815     0.527842    0.569283    0.750293        0.779931    0.901289           1.150699            0.777152         4.516085    0.257044
       21 2543631    Corey Linsley      63   C   GB    146               146       1.331610     2.950521     1.331610    0.525368    2.402384        1.846732    0.604263           1.287089            0.613699         7.103199   -0.142399
       22 2562671   Elgton Jenkins      74   G   GB    157               157       0.324785     0.370693     0.324785    0.281379    0.581109        0.949672    0.853822           1.408388            0.822739         5.653553    0.121626
