# 2019102712_play_046 vs NGS (TSV: 2019_KC_2019102712_1205.tsv)

Our cutoff frames: 318 @ 30 fps
NGS players: 22, snap_frame_ngs: 156
Best our-snap-frame: 120 (= 4.00s into clip)
Matched pairs: 22

## Aggregate (median across matched players)
  pos_rmse_yd             median=0.472  mean=0.619
  pos_p50_yd              median=0.342  mean=0.420
  pos_p90_yd              median=0.737  mean=0.937
  speed_rmse_yds          median=1.177  mean=1.143
  speed_corr              median=0.904  mean=0.883
  accel_rmse_yds2         median=8.165  mean=8.082
  accel_corr              median=0.237  mean=0.219

## Per-player
 track_id  nfl_id                  player  jersey pos team  n_obs  n_overlap_frames  match_cost_yd  pos_rmse_yd  pos_mean_yd  pos_p50_yd  pos_p90_yd  speed_rmse_yds  speed_corr  speed_mean_us_yds  speed_mean_ngs_yds  accel_rmse_yds2  accel_corr
        1 2560952         Jaire Alexander      23  CB   GB    106               106       0.481550     0.541796     0.481550    0.418438    0.849105        1.094471    0.943279           4.804492            4.517453         9.211821    0.193226
        2 2562376             Rashan Gary      52  LB   GB     89                89       0.609705     0.820280     0.609705    0.394781    1.225997        1.165801    0.932150           2.554253            2.022247         6.072118    0.326715
        3 2506789         Tramon Williams      38  CB   GB    106               106       0.421725     0.478467     0.421725    0.386069    0.694302        1.188694    0.935498           3.880578            3.481226         8.003980    0.318189
        4 2555340          Kyler Fackrell      51 OLB   GB    106               106       0.390979     0.465420     0.390979    0.322773    0.717931        1.389005    0.838054           2.813444            2.219623         9.990832    0.239736
        5 2550512         Damien Williams      26  RB   KC    104               104       0.357437     0.396619     0.357437    0.278671    0.581221        0.794643    0.975545           4.036216            3.803654         5.776755    0.272989
        6 2556214             Tyreek Hill      10  WR   KC     99                99       0.371869     0.456626     0.371869    0.244121    0.824669        1.293553    0.924965           3.461167            3.075859         8.371729    0.226954
        7 2560887        Chandon Sullivan      39  CB   GB    106               106       0.323293     0.386847     0.323293    0.282518    0.611823        0.903916    0.940805           2.667171            2.447925         7.220624    0.302492
        8 2552385             Adrian Amos      31  FS   GB    106               106       0.328825     0.353695     0.328825    0.327802    0.519796        1.113731    0.894078           3.016944            2.842830         9.101840    0.051498
        9 2543457           Sammy Watkins      14  WR   KC    102               102       0.436664     0.496464     0.436664    0.333341    0.768770        1.037922    0.957762           3.609074            3.344020         7.555407    0.271690
       10 2540258            Travis Kelce      87  TE   KC    106               106       0.542725     0.572104     0.542725    0.586672    0.748554        1.196900    0.950538           3.979695            3.727736         8.030484    0.248729
       11 2562724          Darnell Savage      26   S   GB     98                98       0.383326     0.443565     0.383326    0.297838    0.726373        1.328101    0.868111           2.385331            1.999388         9.260683    0.241857
       12 2555161          Blake Martinez      50 ILB   GB    106               106       0.353419     0.383607     0.353419    0.383606    0.519080        1.067968    0.938710           3.003741            2.719057         8.951465    0.128811
       13 2557996              Kevin King      20  CB   GB     97                97       0.388055     0.464756     0.388055    0.331608    0.671475        1.742457    0.797654           3.392989            3.146186        12.766446    0.164116
       14 2555478       Demarcus Robinson      11  WR   KC     93                93       0.471875     0.562900     0.471875    0.392530    0.917616        0.749255    0.981340           5.347355            5.106559         5.270667    0.291886
       15 2552240          Cameron Erving      75   T   KC     91                91       1.058080     1.490162     1.058080    0.496314    2.267689        1.376354    0.885884           2.391174            1.836593         8.830130    0.218621
       16 2532945       Mitchell Schwartz      71   T   KC     87                87       0.291882     0.342801     0.291882    0.217318    0.537423        0.834492    0.914435           1.774605            1.520000         5.585700    0.242340
       17 2561227         Tyler Lancaster      95  DT   GB     83                83       0.336522     0.381265     0.336522    0.269407    0.546789        1.205656    0.789283           1.555915            1.133133         9.109253    0.173510
       18 2555274              Dean Lowry      94  DL   GB     96                96       0.914401     1.428239     0.914401    0.422072    2.506943        1.304254    0.834314           2.418070            1.954687         8.300070    0.138739
       19 2507282              Matt Moore       8  QB   KC     91                91       0.504725     0.734710     0.504725    0.349805    1.012111        1.041839    0.869532           2.011597            1.833077         7.764667    0.135654
       20 2553452           Austin Reiter      62   C   KC     95                95       0.892566     1.017830     0.892566    1.183795    1.322681        0.918922    0.720952           1.151363            0.852526         6.261947    0.233690
       21 2560848         Martinas Rankin      74   T   KC    102               102       0.377584     0.423018     0.377584    0.307315    0.676704        1.193801    0.790770           1.807869            1.320098         8.437960    0.250174
       22 2543816 Laurent Duvernay-Tardif      76   G   KC     97                97       0.842511     0.986231     0.842511    1.013193    1.371111        1.209303    0.736266           1.616481            1.144845         7.927680    0.144158
